Rating,Description
4,"Menikmati senja disini. Semakin malam semakin ramai muda mudi yang beraktivitas disini. Banyak penjaja makanan minuman di sepinggir jalan raya yang menyebabkan kemacetan. Ada juga yang memancing di pinggir sungai, tapi harus berhati hati karena arus sungai yang bisa saja berubah setiap saat"
5,Sebaiknya datang pagi atau sore supaya tdk kepanasan. Enak buat duduk2 santai.
5,Sore sore ke sini gk ada obat. Sayangnya pas ke sana lagi berawan jadi sunset gk begitu kerasa. Direkomendasiin bawa cemilan dan minum nongki di sana asik soalnya. Rame juga.
4,"Taman bersih, parkir gratis, pemandangan oke sambil lihat bus parkir di belakang dan didepan lihat bendungan kali gede tirtonadi"
5,Kanal di solo yg bersih .. nyaman di pake buat santai di sore ato malem .. skedar ma tmn ato kluarga...
5,"Wisatalah ke kota Solo, ini salah satu spot yang harus dikunjungi terutama saat weekend, dan musim liburan. Pasar malam Ngarsopuro, tempat beraneka dagangan dari pernak pernik sampai kuliner jajanan. Lokasinya dekat area Puro Mangkunagaran, ada beberapa spot coffee shop dan tempat makan mewah, sampai jajanan kaki lima. Ada live music juga, jangan lupa banyak tersenyum di kota ini ya, jangan mikirin cicilan terus, apalagi mikirin negara, karena negara sudah ada yang atur."
5,"Setiap Jumat dan Sabtu, ada live music, jajanan, handicraft, baju²,  kalo mau ke KFC masih bisa. Ramai dan penjual ramah², parkir cukup tersedia, toilet umum ada"
5,"Kita visit ngarsopuro night market dan seru sih, kita nyobain makanan2 tradisional solo dan beli beberapa souvenir disana termasuk batik. Harganya terjangkau. Ini pertama kali kita ke solo dan kita jatuh cinta dengan kota solo. Semoga solo tetap mempertahankan nilai2 budaya Jawa nya. Dibanding kota2 di Indo yg pernah kita kunjungi, solo termasuk yg panasnya masih normal, mungkin karena banyak pohon saya lihat. Biasanya kalo kita keluar dari hotel langsung keringetan. Cuman di solo yg gak begitu. See you next time solo."
5,"Tempat nya ramai, jualannya murah"" banget, ada live music dan makanannya enak enak
Tempat sampah juga sudah tersedia
Cuma lalu lintasnya aja yg ramai juga"
5,"Tempat jalan-jalan malam yang menyenangkan. Sangat direkomendasikan untuk dikunjungi, apalagi untuk wisatawan dari luar kota.
Aneka penjual batik, makanan, pernak pernik ada semua."
5,"Tempat asik buat jalan2 malam.. cukup ramai, cuma yang di jual tidak terlalu beragam.. adanya baju2 kaos2 kerajinan tangan dan jajanan.. ada live music juga..

Kekurangannya krn full outdoor, pas ujan bablas sih.. hehe"
5,"Banyak area/tempat buat duduk serta yang jualan mulai dari makanan khas solo, makanan jadul, mainan, hewan peliharaan, aksesoris, baju batik ada dan kualitasnya okee"
5,"semacam pasar UMKM Solo. Isinya banyakkk ada craft, makanan, fashion. harganya terjangkau bgtt mulai dari 5rb an."
4,"Salah satu taman yg bisa feeding rusa secara langsung hehe bisa beli makanannya seharga 10rb/paket dapet kangkung dan wortel. Mungkin lebih dibanyakin aja tempat duduknya, sepertinya tidak ada toilet dan disekitar taman. Disana juga bisa jemparingan atau panahan tapi untuk biayanya 25rb perjam kalau tidak salah"
5,"Salah satu taman yang cocok untuk bersantai di tengah kota Solo. Sejauh ini cuma ada tanah lapang yang luas, ada rusa dan bebek yang bisa diberi makan atau sekedar mengenalkan hewan ke anak-anak. Fasilitas/bangunan penunjang seperti toko makanan dan musholla ada di sini, lebih tepatnya di dekat gedung theater wayang orang Sriwedari.

Untuk gedung theaternya sendiri tampaknya hanya buka kalau ada kegiatan di theater dan bisa dicek di instagramnya langsung, dari narasumber, setiap malam di hari senin-sabtu selalu ada pertunjukan wayang orang di gedung ini. Harga tiket untuk turis lokal 20k dan turis mancanegara 50k. Tiket bisa dipesan jauh hari atau dibeli di loket langsung."
4,"The performance was good! All of the artists excelled in acting, particularly in the war scenes. It included a translation of the story in Bahasa Indonesia, which was useful for the native audience but not for the international one. The entire performance was too long. It took 3 hours and the building was old. Overall, it was an excellent experiment."
4,"Kompleks taman hijau di kota solo.
Ada banyak rusa yg berkeliaran dan jinak.
Bisa kasih makan rusa, makanan bisa dibeli di pinggiran taman.
Harus ekstra hati2 di area taman, tdk semua bagian lapangannya landai. Terkadang ada genangan air dan terkadang ada kotoran rusa juga.

Masuk tdk ada HTM nya alias Free
Bayar parkir Rp 2.000
Banyak yg jualan makanan cemilan.
Cocok utk edukasi si kecil
Ada area bermain anak tp fasilitas seperti ayunannya sudah tdk layak pakai krn sudah patah dibeberapa bagian ayunan. Utk di permainan lainnya tdk terawat dan berkarat. Tempat kurang bersih bener2 apa adanya.

Tempat hiburan di solo yg murah meriah."
5,"pertama kali nonton wayang orang dan bikin amaze sama pertunjukkannya, walaupun ga ngerti bahasa jawa mereka nyiapin proyektor buat ngasih tau garis besar cerita"
4,"Kondisi Taman Sriwedari Solo yang memprihatinkan ini semoga segera ada penataan yang lebih baik lagi oleh wali kota selanjutnya. Kasihan melihat kidang-kidang (rusa) yang dititipkan dari Taman Balekambang, malah jadi tidak jelas nasibnya."
5,"Semoga kembali dibangun Pemerintah Kota Surakarta,
Sayang karena penuh sejarah dan kenangan,
Kompleks lengkap mulai dari Musium pertama di Indonesia, Stadion tempat PON diselenggarakan pertama kali, Gedung wayang orang, masjid yang hampir jadi, gedung pertemuan, rusa jinak, dan resto.
Sangat strategis,
Semoga lestari."
5,"Mampir dr asrama haji, makan bekal.
Anak2 senang sekali maen kesini. Kasih makan rusa. Udh seharian gk mau diajak pulang.

Harga kangkung dan wortelnya 10.000.

Kalau direnov lebih mantap lagi ini. Maju terus solo."
5,"Tempatnya luas, banyak mainannya, bersih, ramah anak, banyak wahananya jadi anak anak tidak saling berebut.
Mungkin bisa di sediakan tempat foodcourt karena sedikit risih dengan orang jualan keliling."
5,"Kalo dilihat dari batu prastasinya tempat ini didirikan sekitar tahun 70an. Dahulu disekitaran tempat ini banyak pedagang kaki lima menjual berbagai spare part motor dan mobil, membuat tempat ini terlihat kumuh dan juga mencekam di malam hari T_T . Tapi sekarang setelah relokasi dan renovasi tempat menjadi tempat yang asri buat bersantai atau berolahraga. Banyak pepohonam yang rindang dan juga tempat bermain anak. Well, restroom perlu dijaga kebersihannya lebih baik lagi."
5,"Monumen 45 Banjarsari merupakan suatu open space yang terletak di Kecamatan Banjarsari, Surakarta, Jawa Tengah. Lokasinya hanya lima menit dari Stasiun Solo Balapan, dan tiga menit dari Pasar Legi. Tamannya luas, dengan banyak sekali rerumputan yang dapat digunakan sebagai open space bagi para pengunjung yang datang. Di sepanjang pedestrian terdapat beberapa pedagang kaki lima yang menjajakan dagangannya. Kemudian, terdapat banyak pepohonan rindang, menambah suasana sejuk dan asri bagi para wisatawan yang berkunjung ke sana. Beberapa satwa seperti burung juga banyak yang bersarang disana, menambah asri dan rasa back to nature di sekitar kawasan tersebut. Terdapat area parkir yang tersedia di bahu jalan"
3,"Tempat nya sangat nyaman dan agak bersih terimakasih pemkot sudah menyediakan ruang hijau terbuka

Ada beberapa hal yang membuat kurang nyaman yaitu ketika bermain di kidz zone ada beberapa alat yang kurang terawat semoga ada instansi yang dapat melakukan perbaikan sebelum terjadi hal yang tidak di inginkan👏👏👏"
5,Nemenin anak main seru juga tempatnya agak sepi mungkin karena siang hari dan posisi bulan Ramadhan. Ada bayar parkir 3rb
4,taman yang bagus dan ramah anak.  Bersih dan cukup terawat. sayangnya ada beberapa mainan anak yg rusak dan perlu sedikit perbaikan. anak saya cukup senang bermain disini
5,Playground gratis cocok untuk bawa anak2. Kl mau main saran saya pagi atau sore karna besi mainannya jadi panas kl di siang hari. Ada toilet dan ada taman nya juga.
5,Playground anak luas bgt.. cocok buat ajak bocil. Bebas asap rokok juga sesuai spanduk yg terteta di sana. Bersih dan terawat. Ramah buat pesepeda karena ada parking area utk sepeda juga. Ada mushola sebentuk gazebo di tengah taman. Suka bgt taman ini!
4,"Salah satu peninggalan sejarah kerajaan Surakarta dan masih jadi kediaman dari keluarga kerajaan. HTM 25k + 10k untuk guide nya. Keraton dengan luas total 54 hektar tapi yg bisa dikunjungi hanya bagian halaman depan dan museum kecil saja. Untuk masuk ke halaman depan nya tidak diperbolehkan menggunakan sandal jadi harus di lepas sebagai penghormatan tapi sepatu tetap boleh digunakan. Guide nya cukup jelas dalam menerangkan sejarah keraton Surakarta. Cukup menarik jika sekedar ingin melihat halaman keraton, pengaruh budaya Eropa nya, mendengarkan sejarah nya dan melihat museum nya walau tidak terlalu besar. Untuk berkeliling tidak memakan waktu lama kurang dari 1 jam saja.

Yang masih harus diperbaiki adalah toilet di pintu masuk nya yg kurang terpelihara kebersihan nya dan untuk masuk wajib menggunakan guide sehingga kadang harus antri dulu walau tidak lama.

Jika sedang di Solo ajak anak-anak untuk mampir dan belajar sejarah kerajaan Surakarta dan makin dekat dengan budaya Indonesia.

Note: Parkir depan loket terbatas. Parkir di gerbang depan cukup luas dan tidak jauh berjalan ke loket dan pintu masuk."
5,"Suasana jawanya kental sekali, mistik dan historikalnya masih asli, pemandunya sangat detail memberi penjelasan jd pengunjung bisa sambil belajar. Masuk ke sini aturannya lebih ketat dibanding keraton Yogja, tapi semua memang disesuaikan lagi krn daerahnya pun beda. Banyak spot menarik di sini, agak merinding waktu masuk ke bagian museum yg banyak diorama patung2 yg mirip manusia, serasa hidup karena detail banget bentuknya sampe saya sama anak kaget waktu masuk ke salah satu ruangan yg berisi alat musik, patungnya menghadap samping jd seolah2 hendak bertegur sapa 😅... Pokoknya tempat ini jadi salah satu destinasi wajib kalau liburan ke Solo."
3,"There was a lot of damage to the palace buildings. And it doesn't seem very well maintained. There is also a lot of dust on historical objects in the museum. But they have good tour guides, explaining what's in the palace."
5,"A historical place in Surakarta. If youre lucky enough you'll watch regular event held by them. When I was there, there were an attractive show about the old legends in Indonesia. They performed some traditional music and dance. It was fun"
5,"Tampak depan Keraton. Lumayan ramai pengunjung pada akhir pekan. Beberapa jajanan juga ada di sekitar Keraton. Di dalamnya terdapat beberapa benda pusaka peninggalan kerajaan zaman dahulu.

Bertemu dengan seorang tukang becak sekaligus tour guide. Kita bisa diantar mengelilingi Keraton. Melihat deretan rumah-rumah raja. Menjelajah area Keraton yang cukup luas. Harganya Rp50.000 untuk satu becak. Waktu total yang ditempuh kurang lebih 30 menit. Namun, ia siap menunggu apabila kita ingin foto-foto. Pun ia juga siap apabila kita ingin keliling lebih cepat.

Foto terakhir adalah pintu masuk ke museum. Berjarak sekitar 200 meter dari foto pertama diambil."
4,"suasana dalam keraton adem banget. masuk ke dalam keraton wajib memakai sepatu, bagi yang memakai sandal akan diminta melepas sandal dan menitipkan di penitipan. untuk perempuan harus pakai rok panjang, kalau tidak maka akan dipinjami kain panjang.

tiket masuk sudah termasuk tour guide, ada harga pelajar/mahasiswa juga dengan menunjukkan KTM. di dalam ada penjual jajanan makanan minuman jadi di sela sela tour, saya dan teman saya sempat beli es beras kencur dan es kunyit asam dengan harga 5000 per gelas"
3,"Sekarang htm 25k & wajib tour guide 10rb jd 35k/org tapi tour guide hanya 1 untuk serombongan2. Banyak bagian keraton yang mulai rusak seharusnya mulai ada pembenahan & perawatan agar pengunjung jg nyaman serta enak dipandang. Tour guide berpengalaman, menjlskan dgn baik & ramah"
5,"Keraton Surakarta atau juga dikenal sebagai Keraton Solo jadi salah satu kerajaan atau keraton yang masih eksis di Jawa Tengah. Terdapat cerita panjang di balik berdirinya Keraton Surakarta yang ternyata bermula dari Keraton Kartasura yang rusak.

Meskipun berdirinya Keraton Surakarta disebut bermula dari Keraton Kartasura yang rusak, tetapi berdirinya keraton yang dipimpin oleh Pakubuwono ini tak terlepas dari sejarah panjang Kerajaan Mataram.

Adapun perpindahan dari Keraton Kartasura ke Keraton Surakarta juga disebabkan oleh adanya peristiwa Geger Pecinan pada tahun 1740-an.

Berikut ini informasi lengkap mengenai sejarah Keraton Surakarta dikutip dari skripsi 'KONFLIK RAJA KEMBAR KERATON SURAKARTA HADININGRAT (2004-2012)' yang disusun oleh Risti Eviana dari Fakultas Ilmu Sosial Universitas Negeri Yogyakarta (UNY), diakses detikJateng dari situs eprints.uny.ac.id pada Rabu (8/2/2023).

Sejarah Berdirinya Keraton Surakarta

Berdirinya Keraton Surakarta tidak terlepas dari Kerajaan Mataram. Kerajaan Mataram ini didirikan oleh Panembahan Senapati Ing Ngalogo pada tahun 1575 dan menjadi sultan pertama. Kerajaan Mataram berkembang hingga mencapai puncak kejayaannya pada masa Sultan Agung pada tahun 1613-1645.

Dari Kerajaan Mataram ini kemudian melahirkan keturunan dinasti berikutnya, yaitu Keraton Surakarta yang didirikan oleh Pakubuwono II dengan gelar Susuhunan Paku Buwana Senapati Ing Alaga Abdul Rahman Sayidin Panatagama.

Geger Pecinan
Pada masa pemerintahan Pakubuwono II terjadi peristiwa Geger Pecinan. Pemberontakan ini dimulai sejak tahun 1740 saat VOC memberlakukan kebijakan untuk mengurangi jumlah orang Cina di Batavia yang kemudian membuat banyak orang Cina mengungsi ke wilayah Jawa Tengah dan membentuk laskar-laskar perlawanan.

Pelarian laskar Cina tersebut mendapat dukungan dari para bupati di wilayah pesisir serta secara diam-diam Pakubuwono II juga mendukung gerakan perlawanan laskar Cina terhadap VOC ini melalui Adipati Natakusuma selaku seorang patih Kerajaan Kartasura dengan tujuan untuk memukul mundur kekuasaan VOC di wilayah kekuasaan Mataram Kartasura.

Namun, usai melihat Kota Semarang yang menjadi pusat VOC di Timur Batavia tidak jatuh ke tangan orang-orang Cina, Pakubuwono II menarik dukungannya dan kembali memihak VOC untuk memerangi perlawanan laskar Cina.

Pakubuwono II kemudian menangkap Adipati Natakusuma yang akhirnya dihukum buang ke Sailon (Srilanka) untuk menutupi kecurigaan VOC terhadapnya. Namun, kekuatan pasukan Cina semakin kuat dengan adanya dukungan Bupati Pati, Grobogan, dan beberapa kerabat raja.

Bahkan, laskar Cina ini mampu mengangkat Mas Garendi sebagai penguasa yang baru atas kerajaan Mataram Kartasura dengan gelar Sunan Kuning.

Pada tahun 1742 pihak kerajaan semakin terdesak, sehingga membuat raja, kerabat, dan pengikutnya yang masih setia harus mengungsi ke Ponorogo.

Para pemberontak berhasil menduduki dan merusak bangunan Keraton Kartasura. Pemberontakan tersebut kemudian dapat dipadamkan oleh Pakubowono II dengan bantuan pasukan VOC. Pakubuwono II berhasil merebut kembali Kerajaan Kartasura yang sebelumnya berhasil diduduki oleh laskar Cina.

Berpindah ke Surakarta
Usai kembali bertakhta, Pakubuwono II merasa bahwa Keraton Kartasura sudah tidak layak untuk menjadi pusat kerajaan. Hal ini karena menurut kepercayaan Jawa, keraton yang sudah rusak telah kehilangan wahyu.

Akhirnya, usai melalui berbagai pertimbangan, Desa Solo dipilih menjadi tempat pengganti Keraton Kartasura yang sudah rusak yang kemudian diberi nama Keraton Surakarta oleh Pakubuwono II. Secara resmi Keraton Surakarta berdiri pada 17 Februari 1745.

-Detik.com-"
4,"Salah satu tempat wisata di Solo sejak dipugar kembali zaman pemerintahan Bpk Joko Widodo.. Benteng peninggalan Belanda ini dulu digunakan untuk mengawasi gerakan keraton Surakarta.. Lokasi dekat dengan pusat wisata lainnya dan juga dekat dengan pusat perbelanjaan di Solo, cukup berjalan kaki dapat menjangkau berbagai tempat.."
2,"Fort Vastenburg ini merupakan benteng peninggalan penjajah Belanda yang ada di kota solo.
Benteng ini dibangun sejak abad ke 18.
Kemarin pada saat kesana benteng ini ditutup dan tidak dapat masuk.
Sepertinya sekarang benteng ini sering sibuat untuk tempat pertunjukan konser2..

Benteng ini letaknya tidak jauh dari pasar gede solo. Jalan kaki sekitar 400m saja.

Sayangnya sepertinya kurang terawat...
Banyak sampah dimana2..
Sayang sekali padahal harusnya peninggalan sejarah seperti ini harus dirawat dan dijaga.."
3,"Sayang ke sini hanya bisa di depan gerbangnya saja, tidak bisa masuk ke dalam. Mungkin sedang ada renovasi atau apa, waktu ke sini juga lagi banyak orang2 berkumpul di depan benteng mungkin dari komunitas tertentu terkait sejarah..."
5,"Liat pas bisnya parkir di sana, sempet nengok dari besi2 dalemnya gmn. Benteng ini merupakan cagar budaya, bisa diliat di foto"
4,"It’s lucky that there was an event when I came here, so the gate was open and I could see the inside. I could also enter freely although I wasn’t a participant for the event 😆. It looked cool from outside, but in the inside, well.. it’s boring, LOL. But, I guess what else could you expect from just a fort.."
5,"Kemaren saya berangkat ke Solo untuk menghadiri acara Metal Fest dan Benteng Vastenburg adalah lokasi andalan pagelaran Festival Metal, ROCK IN SOLO. Tempatnya luas dan nyaman meski nggak banyak tempat teduh. Senang bisa menjadi bagian dari sejarah yang belum selesai ditulis.

See you next year !!! \m/"
4,"Benteng Vastenberg, kalo kesini kebanyakan pas lagi ada event atau acara atau konser gratis, tempatnya strategis dan mudah diakses, untuk pengunjung tolong buang sampah ditrmpatnya biar gak kececer sampahnya."
5,Ya namanya benteng ya cuma bangunan begini. Benteng ini dibuka kalau ada acara kunjungan besar. Jadi cuma bisa ngintip dari luar begini.
5,"Tiket masuk ke pura mangkunegaran 30rb/orang bisa cash atau qris. +++ kalau mau ngasih tips buat tourguidenya, soalnya tour guide nya ramah dan seru banget, walaupun udah lumayan berumur bapaknya tapi kalau diminta tolong foto hasilnya tetep bagus. Dijelasin detail banget dari bangunan pura mangkunegaran sampai silisilah raja-raja nya. Seru sih ga kerasa 1 jam keliling, terus didalem ada yang jualan lulur keraton dan wangi banget (harganya 25rb)."
5,"Main ke Mangkunegaran karena sering ada event, tiap bulan kemungkinan ada event baru. Seperti event hari UMKM, hari Dekranas, dll. Tiap acara sering ada bintang tamu musisi Terkenal untuk memeriahkan acara. Beberapa event tanpa tiket masuk/Gratis cuma bayar parkir. Beberapa event harus beli tiket"
4,"Dapet tiket terakhir di Jam 15.00 dengan harga IDR 30k per orang dan kecewanya tidak diinfo kalau museumnya sudah ditutup. Jadi saat di dalam hanya berjalan-jalan melihat bangunannya. Tour guide jg kurang menjelaskan dengan baik, hanya mengantar ke area foto-foto."
5,"Ke sini harus booking dahulu via link di IG, bisa sih kalo mau gambling go show, tp gk jamin dapat seat. Pilih jam 17.00 dapat best view sore ke malam. Makanan bintang lima dg harga yg affordable, disajikan dengan cantik. Rata2 yg ke sini pakai ootd ala keraton, ga wajib yaa, yang penting jangan pake sandal jepit aja. Must try nya itu puding roti mentega, 999/10"
5,"Nice place to visit, but for me, not recommended for children under 5 years. Will be boring. Sbg orang dewasa yes, saya enjoyyyy semuanya! Tiket masuk 30rb dapat guide (free tipping seiklasnya). Ndilalahe dapat guide yg menyenangkan karena byk omong hahaha maaf ya pak.....tapi anda bener bener nyenengke karena menjelaskan semuanya dengan baik, setiap sudut plus humornya, dan maaf saya lupa nama bapak..... Lebih dari satu jam keliling area yg bisa dimasuki turis......sy yg gak suka sejarah aja gak bosen loh keliling dan ndengerin bapak ini......bener bener weekend yg menyenangkan...."
4,"Nice place to visit. You get a guide included with the ticket. But staff made sure I paid the guide too. Which I find it wrong.
I like the European touch added to the traditional Javanese style. I liked also that new  family pictures are there, which made me feel I was really in their living room. Not like I am in a museum where no one lives."
5,Raden Mas Said alias Pangeran Sambernyowo pengagum Sunan Kalijogo berkolaborasi dengan Pakubuwono II merupakan bukti sejarah beliau adalah pahlawan Nusantara Sejati 👍👍
4,"kesini waktu libur lebaran H+3. Lokasi lumayan rame, tapi antriannya tertib gak terlalu lama meskipun banyak orang.

Biaya masuk 30rb/orang sudah dapet penjelasan dari tour guide keliling dari pintu masuk sampe pintu keluar klo mau kasih tips buat tour guide monggo, penjelasannya juga oke orangnya juga ramah

info dari tour guidenya setiap hari rabu dan sabtu ada pertunjukan tari sekitar di jam 10-12"
5,"Yes manfaatkan kesempatan selama di solo ini dgn mengunjungi Solo Safari!
Pertama untuk parkir, diarahkan untuk ke arah utara disana sudah ada angkutan yang siap mengantar kembali pengunjung ke pintu masuk solo safari.
Untuk tiket masuk dikenakan 75k saat weekend dan 55k untuk weekdays, bisa melalui petugas atau beli secara online. Kemudian checkin dengan scan barcode.
Area nya terhitung sangat luas, kemudian setiap area kandang tertata dan dikelompokan dengan baik, dan selain itu ada pertunjukan disetiap kelompok hewan tsb dengan penjadwalan yang berurutan seperti pengunjung diarahkan untuk bisa mengikuti dari pertujukan awal sd akhir. Akhir dari perjalanan nya adalah di resto disini bisa beristirahat, dan makan sambil melihat hewan hewan.
Untuk restonya makanannya enak, tp sepertinya biasa ditempat wisata harganya cukup pricey.
Kemudian untuk keluar melewati jalan yang sama, akan tetapi melalui toko souvenir.
Overall recommend buat mengajak keluarga kesini.
Kalau kesini wajib bawa payung, terutama untuk anak anak, cuaca solo sangat panas!"
4,"Overall, cukup menyenangkan, tapi dengan beberapa catatan:
- Tanpa bermaksud membandingkan, tapi kalau sudah pernah ke Taman Safari Bogor, Gembira Loka Zoo, atau Kebun Binatang Bandung, maka Solo Safari ini experiencenya memang terasa lebih ke kebun binatang biasa.
- Untuk yg rombongan (sekolah anak, misalnya), kemungkinan tidak tau bahwa belinya tiket regular/premium. Jika regular, maka siap2 jalan kaki ke exit/parkir akan jauuuh (apalagi jika bareng anak kecil, pastikan cukup minum), dan dari hewan terakhir ke exit tidak ada pemandangan apa2 (jika tiket premium, akan diantar shuttle ke pintu keluar).
- Tidak diperbolehkan bawa makanan & minuman kemasan. Kalau bekal sendiri dgn tempat makan & minum sendiri, diperbolehkan.
- Transaksi untuk interaksi dengan hewan, ataupun beli makan & minum menggunakan cashless/QRIS, dengan harga yg lumayan mahal. So, persiapkan juga.
- Hewan2 masih belum banyak, dan entah kenapa ketika kami ke sana kemarin tampak lesu, dan banyak yang tidur. Mungkin karena cuaca juga sedang panas sekali.

Semoga ke depannya semakin banyak perbaikan.. 🙏🏻"
5,"Ke sini pas hari minggu tidak terlalu ramai, mungkin karena tidak sedang musim liburan. Parkir kendaraan pribadi berada lumayan jauh di belakang, biaya parkir motor 5rb. Kemudian dari parkiran ke jalan masuk wisatanya ada fasilitas antar jemput batik solo trans (gratis).

Tiket weekend 75rb, ada juga tiket premium dengan tambahan fasilitas kereta untuk berkeliling. Disarankan beli tiket jauh hari sebelum, melalui online karena bisa lebih hemat.

Untuk satwa nya cukup banyak, saat pengambilan tiket, akan diberi brosur sekaligus map, sebagai patokan teman-teman ketika berkeliling. Hanya saja memang varian dari setiap satwa tidak banyak. Contohnya, ular dan kura-kura  hanya ada 1 macam. Reptil hanya iguana dan komodo.

Bisa interaksi langsung dengan beberapa satwa, contohnya unta, gajah, binturong, dll. Semoga kelak koleksinya bisa lebih banyak lagi. Semoga sukses selalu~ Aamiin"
4,"Untuk ukuran taman safari,ini versi mininya. Menurutku lumayan bagus ya. Hewannya masih belum banyak, suasananya nyaman, banyak bangku dan banyak pohon untuk berteduh.
Untuk tiket premium gratis minum, souvenir kipas dan mobil utk mengantar pulang.
Area makan vip juga bagus, bisa makan sambil lihat singa.
Yg kurang disini, tempat parkirnya jauh bgt, dan feeder utk pulang ke tempat parkir menunggu lumayan lama.
Mushola juga hanya 1 dan letaknya diujung, semoga kedepan mushola bs ditambahi."
4,"Aku waktu itu dateng ke Solo Safari pas holiday season. Aku ke sini naik motor dan ternyata hari itu rame banget jadi untuk parkir motornya dialihkan ke belakang Solo Safari, gak terlalu jauh sih tapi aku harus muter lagi karena awalnya gak tahu wkwk. Nah dari tempat parkir ini nanti kita dianter naik shuttle khusus dari Solo Safari buat ke lokasinya.
Aku beli tiket offline waktu itu gak nunggu lama kok. Kalau mau masuk ke sini dilarang bawa makanan/minuman dari luar yaa. Tapi kalau mau bawa tumblr isi air putih sih gak masalah karena waktu itu aku lihat ada yg bawa.
Di sini lumayan banyak jadwal pertunjukan hewan. Menurutku Solo Safari ini masih lumayan panas ya, mungkin karena emang baru, jadi pohonnya belum terlalu rimbun. Aku pas ke sini emang pengunjungnya banyak banget dan rame. Menurutku hewan di sini lumayan banyak, tapi menurutku tempatnya gak terlalu luas sih. Kalau ke sini disarankan bawa payung/topi ya karena memang panas banget apalagi yg bawa anak kecil jangan lupa minum yg cukup.
Oh ya pelayanannya juga bagus, ramah, dan komunikatif. Zoo keeper nya juga ramah dan baik ke semua hewan"
